交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/06/06,CBO,201906  ,23.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/05,CBO,201906  ,23.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/18,CBO,201906  ,23.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/17,CBO,201906  ,23.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/14,CBO,201906  ,23.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/19,CBO,201906  ,23.0000,賣權,-,-,-,-,0,0,0,-,-,-,-,,一般,
2019/06/04,CBO,201906  ,23.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/03,CBO,201906  ,23.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/14,CBO,201906  ,23.5000,買權,1.06,1.06,1.06,1.06,5,1,35,0.97,1.24,1.49,0.67,,一般,
2019/06/17,CBO,201906  ,23.5000,買權,0.94,0.94,0.94,0.94,5,1.05,35,-,-,1.49,0.67,,一般,
2019/06/18,CBO,201906  ,23.5000,買權,-,-,-,-,0,1.1,35,-,-,-,-,,一般,
2019/06/19,CBO,201906  ,23.5000,買權,1.26,1.26,1.26,1.26,5,0,30,-,-,1.49,0.67,,一般,
2019/06/05,CBO,201906  ,23.5000,買權,-,-,-,-,0,0.74,35,-,-,-,-,,一般,
2019/06/06,CBO,201906  ,23.5000,買權,-,-,-,-,0,0.86,35,-,-,-,-,,一般,
2019/06/11,CBO,201906  ,23.5000,買權,-,-,-,-,0,0.91,35,-,-,-,-,,一般,
2019/06/10,CBO,201906  ,23.5000,買權,-,-,-,-,0,1.01,35,-,-,-,-,,一般,
2019/06/12,CBO,201906  ,23.5000,買權,-,-,-,-,0,1.05,35,-,-,-,-,,一般,
2019/06/13,CBO,201906  ,23.5000,買權,-,-,-,-,0,0.95,35,-,-,-,-,,一般,
2019/06/03,CBO,201906  ,23.5000,買權,0.71,0.72,0.71,0.72,15,0.71,35,-,-,1.49,0.67,,一般,
2019/06/04,CBO,201906  ,23.5000,買權,-,-,-,-,0,0.72,35,-,-,-,-,,一般,
2019/06/13,CBO,201906  ,23.5000,賣權,-,-,-,-,0,0.01,23,-,-,-,-,,一般,
2019/06/12,CBO,201906  ,23.5000,賣權,-,-,-,-,0,0.01,23,-,-,-,-,,一般,
2019/06/10,CBO,201906  ,23.5000,賣權,-,-,-,-,0,0.01,23,-,-,-,-,,一般,
2019/06/11,CBO,201906  ,23.5000,賣權,-,-,-,-,0,0.01,23,-,-,-,-,,一般,
2019/06/06,CBO,201906  ,23.5000,賣權,-,-,-,-,0,0.02,23,-,-,-,-,,一般,
2019/06/05,CBO,201906  ,23.5000,賣權,-,-,-,-,0,0.01,23,-,-,-,-,,一般,
2019/06/18,CBO,201906  ,23.5000,賣權,-,-,-,-,0,0.01,23,-,-,-,-,,一般,
2019/06/17,CBO,201906  ,23.5000,賣權,-,-,-,-,0,0.01,23,-,-,-,-,,一般,
2019/06/14,CBO,201906  ,23.5000,賣權,-,-,-,-,0,0.01,23,-,-,-,-,,一般,
2019/06/19,CBO,201906  ,23.5000,賣權,-,-,-,-,0,0,23,-,-,-,-,,一般,
2019/06/04,CBO,201906  ,23.5000,賣權,-,-,-,-,0,0.04,23,-,-,-,-,,一般,
2019/06/03,CBO,201906  ,23.5000,賣權,-,-,-,-,0,0.04,23,-,-,-,-,,一般,
2019/06/19,CBO,201906  ,24.0000,買權,0.77,0.77,0.77,0.77,5,0,39,-,-,1.09,0.3,,一般,
2019/06/17,CBO,201906  ,24.0000,買權,0.44,0.44,0.44,0.44,5,0.55,34,-,-,1.09,0.3,,一般,
2019/06/14,CBO,201906  ,24.0000,買權,-,-,-,-,0,0.51,29,-,-,-,-,,一般,
2019/06/18,CBO,201906  ,24.0000,買權,-,-,-,-,0,0.6,34,-,-,-,-,,一般,
2019/06/05,CBO,201906  ,24.0000,買權,-,-,-,-,0,0.35,19,-,-,-,-,,一般,
2019/06/06,CBO,201906  ,24.0000,買權,0.3,0.33,0.3,0.33,10,0.42,24,-,-,1.09,0.3,,一般,
2019/06/11,CBO,201906  ,24.0000,買權,0.39,0.39,0.39,0.39,5,0.44,29,-,-,1.09,0.3,,一般,
2019/06/10,CBO,201906  ,24.0000,買權,0.41,0.45,0.41,0.45,10,0.53,34,0.41,0.48,1.09,0.3,,一般,
2019/06/12,CBO,201906  ,24.0000,買權,-,-,-,-,0,0.57,29,-,-,-,-,,一般,
2019/06/13,CBO,201906  ,24.0000,買權,-,-,-,-,0,0.48,29,-,-,-,-,,一般,
2019/06/03,CBO,201906  ,24.0000,買權,0.34,0.37,0.34,0.37,2,0.34,14,-,-,1.09,0.3,,一般,
